;PR;RS, SC, SP;MG, MS, RJ ;DF, ES, MT;BA, GO, TO;AC, AL, AM, CE, MA, PA, PB, PE, PI, RN, RO, SE;AP, RR
500;0;17,81;19,99;22,26;26,71;32,07;39,15
1000;0;19,08;21,42;23,85;28,62;34,38;41,94
2000;0;21,06;23,49;26,19;31,41;37,71;46,08
3000;0;25,11;27,99;31,32;37,53;45;54,99
4000;0;26,73;29,97;33,48;40,14;48,15;58,86
5000;0;28,62;32,13;35,82;42,93;51,48;62,91
6000;0;31,68;36,45;41,49;51,48;63,27;79,11
7000;0;35,01;40,23;45,9;56,79;69,93;87,3
8000;0;38,16;43,74;49,95;61,83;76,14;95,13
9000;0;39,96;45,99;52,38;64,98;79,92;99,81
10000;0;41,31;47,43;54,18;67,05;82,53;103,14
11000;0;46,53;53,37;61,02;75,42;92,88;116,01
12000;0;51,75;59,31;67,86;83,79;103,23;128,88
13000;0;56,97;65,25;74,7;92,16;113,58;141,75
14000;0;62,19;71,19;81,54;100,53;123,93;154,62
15000;0;67,41;77,13;88,38;108,9;134,28;167,49
16000;0;72,63;83,07;95,22;117,27;144,63;180,36
17000;0;77,85;89,01;102,06;125,64;154,98;193,23
18000;0;83,07;94,95;108,9;134,01;165,33;206,1
19000;0;88,29;100,89;115,74;142,38;175,68;218,97
20000;0;93,51;106,83;122,58;150,75;186,03;231,84
21000;0;98,73;112,77;129,42;159,12;196,38;244,71
22000;0;103,95;118,71;136,26;167,49;206,73;257,58
23000;0;109,17;124,65;143,1;175,86;217,08;270,45
24000;0;114,39;130,59;149,94;184,23;227,43;283,32
25000;0;119,61;136,53;156,78;192,6;237,78;296,19
26000;0;124,83;142,47;163,62;200,97;248,13;309,06
27000;0;130,05;148,41;170,46;209,34;258,48;321,93
28000;0;135,27;154,35;177,3;217,71;268,83;334,8
29000;0;140,49;160,29;184,14;226,08;279,18;347,67
30000;0;145,71;166,23;190,98;234,45;289,53;360,54
100000;0;5,22;5,94;6,84;8,37;10,35;12,87
